,model,epochs,batch_norm,dropout,hidden_neurons,hidden_layers,f1,type
0,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.3599915510307113,train
1,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.021588222652052434,validation
2,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.05286778364792554,test
3,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.5022396234978069,train
4,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.024087496427921944,validation
5,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.057017105770371966,test
6,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.546496526841069,train
7,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.025977581651340502,validation
8,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.060876887756320434,test
9,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.5666850481267957,train
10,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.025693859594568796,validation
11,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.06227435553676697,test
12,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.5742365123558278,train
13,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.025593928005275504,validation
14,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.0655482552645674,test
15,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.359126423679153,train
16,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.021147863400679413,validation
17,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.05165542425867835,test
18,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.5104472971982346,train
19,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.02384241525251119,validation
20,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.05544066125626413,test
21,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.5545459776089726,train
22,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.02324689572082145,validation
23,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.06045705804571057,test
24,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.5633376474728163,train
25,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.022736716783002705,validation
26,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.06255005829473918,test
27,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.5684040441704189,train
28,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.023818973251597354,validation
29,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.06266075663238788,test
30,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.35722571117143165,train
31,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.019000064815667645,validation
32,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.04766445269991369,test
33,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.505481471903862,train
34,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.021059906733665586,validation
35,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.05365606812415323,test
36,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.5635142528756248,train
37,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.022648294566920902,validation
38,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.05572220529667339,test
39,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.5784528440702822,train
40,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.022620565670211045,validation
41,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.0568716048857893,test
42,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.5842398178005184,train
43,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.022264829995326432,validation
44,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.05738194298477989,test
45,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.34021892869410514,train
46,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.02294239251686059,validation
47,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.05470926105677881,test
48,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.4984273697585611,train
49,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.025757267631101137,validation
50,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.061976564127169106,test
51,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.5539280834741822,train
52,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.026723058783529086,validation
53,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.06349320191161971,test
54,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.5675058925839064,train
55,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.026337158894083102,validation
56,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.06395712757788163,test
57,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.5746998622601456,train
58,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.026754810588330537,validation
59,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.06433263334345832,test
60,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.33981999744411007,train
61,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.02106014552823062,validation
62,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,200,1,0.045468863403782075,test
63,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.48821581033995515,train
64,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.023588127134226415,validation
65,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,200,1,0.05319130586043178,test
66,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.5579601779268015,train
67,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.023933731096851648,validation
68,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,200,1,0.05458625391260488,test
69,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.5752412590731312,train
70,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.024296467913489172,validation
71,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,200,1,0.056128223894291174,test
72,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.5808067324754838,train
73,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.025852623866808252,validation
74,<class '__main__.RandomInitEmbeddings'>,500,False,0.0,200,1,0.0571597823017361,test
75,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,25,1,0.0,train
76,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,25,1,0.0,validation
77,<class '__main__.RandomInitEmbeddings'>,100,False,0.0,25,1,0.0,test
78,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,25,1,0.0,train
79,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,25,1,0.0,validation
80,<class '__main__.RandomInitEmbeddings'>,200,False,0.0,25,1,0.0,test
81,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,25,1,0.19515595778007175,train
82,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,25,1,0.01114713497692221,validation
83,<class '__main__.RandomInitEmbeddings'>,300,False,0.0,25,1,0.029281774175391188,test
84,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,25,1,0.3392593904650633,train
85,<class '__main__.RandomInitEmbeddings'>,400,False,0.0,25,1,0.018022951569050857,validation
